titulo,letra
ILHA,"Quero que prometa, que se comprometa A ir procurar outro amor em outro planeta Pra que eu não te veja sentada na mesa Rindo à toa enquanto outra boca te beija, ai, ai, ai Vou engolir meu coração pra me amar por dentro Que nós dois sabemos que tanto sofrimento É perda de tempo, é perda de tempo Vou transformar decepção em novo começo O passado é um erro, o presente é só acerto O amor eu te prometo Também vou procurar outro amor em outro planeta Guardo seu ciúme em qualquer gaveta Primeiro a gente peita, depois a gente aceita Que amores vem, amores vão Cê vai pro céu, volta pro chão E quando tá pra se afogar no mar da vida Vem alguém, vem alguém E se torna ilha Vou engolir meu coração pra me amar por dentro Que nós dois sabemos que tanto sofrimento É perda de tempo, é perda de tempo Vou transformar decepção em novo começo O passado é um erro, o presente é só acerto O amor eu te prometo Também vou procurar outro amor em outro planeta Guardo seu ciúme em qualquer gaveta Primeiro a gente peita, depois a gente aceita Que amores vem, amores vão Cê vai pro céu, volta pro chão E quando tá pra se afogar no mar da vida Vem alguém, vem alguém Também vou procurar outro amor em outro planeta Guardo seu ciúme em qualquer gaveta Primeiro a gente peita, depois a gente aceita Que amores vem, amores vão Cê vai pro céu, volta pro chão E quando tá pra se afogar no mar da vida Vem alguém, vem alguém E se torna ilha"
Incondicional,"Eu vou pedir ao Sol pra iluminar nosso caminho E todas as estrelas pra enfeitar nosso destino Me leve onde for, segure a minha mão Pois sei que você vai ser a minha direção A gente é assim, temos tanta coisa em comum Você tem marca em mim e pra você não sou mais um Assim é nosso amor, tão forte como a noite Perfeito como o dia Eu vou subir nas nuvens pra desenhar o teu sorriso E, no azul do céu, vou ver os seus olhos brilhando E em meio às estrelas fico flutuando Em minhas digitais já tem um pouco de você Eu sigo os seus sinais, assim nunca vou te perder É incondicional, você tem a forma exata pra me prender Em você A gente é assim, temos tanta coisa em comum Você tem marca em mim e pra você não sou mais um Assim é nosso amor, tão forte como a noite Perfeito como o dia Eu vou subir nas nuvens pra desenhar o teu sorriso E, no azul do céu, vou ver os seus olhos brilhando E em meio às estrelas fico flutuando Em minhas digitais já tem um pouco de você Eu sigo os seus sinais, assim nunca vou te perder É incondicional, você tem a forma exata pra me prender Em você Eu vou subir nas nuvens pra desenhar o teu sorriso E, no azul do céu, vou ver os seus olhos brilhando E em meio às estrelas fico flutuando Em minhas digitais já tem um pouco de você Eu sigo os seus sinais, assim nunca vou te perder É incondicional, você tem a forma exata pra me prender Em você Em minhas digitais já tem um pouco de você Eu sigo os seus sinais, assim nunca vou te perder É incondicional, você tem a forma exata pra me prender Em você"
Inquilina de Violeiro (part. Zezé Di Camargo e Luciano),"Se eu fosse um passarinho Queria voar no espaço E pousar devagarinho Nas voltinhas do seus braços Queria sentir seu carinho Para aliviar a dor que eu passo Queria te dar um beijinho E depois um forte abraço É um ditado muito certo Quem ama nunca esquece Quem tem seu amor distante Chora, suspira e padece Coração sofre bastante Saudade no peito cresce Se você tem outro amor Seja franca e me esclarece Um rapaz com sua viola vem chegando do interior Com chapéu de boiadeiro e trajes de lavrador Em um prédio em São Paulo, entrou no elevador Também entrou uma moça igual um botão de flor Achando a moça tão bela o rapaz falou pra ela Quero ser o seu amor A mocinha respondeu com um gesto indelicado Para mim você não passa de um mendigo conformado Você com essa viola é um caipira atrasado Não tem onde cair morto e quer ser meu namorado Só fico com gente nobre Você é um rapaz tão pobre, não namoro pé rapado O rapaz muito educado então disse pra menina Ando com essa viola pra cumprir a minha sina Mas sou muito caprichoso, só tenho prédio de esquina Para mim você não passa de uma falsa granfina Onde moras não é seu, esse prédio aqui é meu Você é minha inquilina Me chame como quiser, de caipira ou de roceiro Esse chapéu representa o troféu dos boiadeiros Não largo dessa viola, porque sou bom brasileiro Atrasou seu aluguel, vim receber meu dinheiro Cumpra melhor seu dever Sinta o orgulho de ser inquilina de violeiro"
Insegurança,"Essa noite eu notei que você demorou pra dormir Caminhou pela casa, ligou a TV eu ouvi Você sussurrando, chorando baixinho pra não me acordar Se tiver precisando de amigo pra desabafar Se for alguma coisa comigo vamos conversar Eu não quero correr o perigo de um dia você me deixar Escolhi você pra ser minha mulher E sou tão fiel à nossa relação Pelo amor de Deus se for insegurança Tira do teu coração Já é tarde vamos nos deitar Se quiser conversar na nossa cama Porque sei que tudo isso passa Você me abraça e a gente se ama Eu não vou te trair com ninguém Meu amor, você tem minha palavra Porque tudo que um homem precisa eu tenho em casa Essa noite eu notei que você demorou pra dormir Caminhou pela casa, ligou a TV eu ouvi Você sussurrando, chorando baixinho pra não me acordar Se tiver precisando de amigo pra desabafar Se for alguma coisa comigo vamos conversar Eu não quero correr o perigo de um dia você me deixar Escolhi você pra ser minha mulher E sou tão fiel à nossa relação Pelo amor de Deus, se for insegurança Tira do teu coração Já é tarde vamos nos deitar Se quiser conversar na nossa cama Porque sei que tudo isso passa Você me abraça e a gente se ama Eu não vou te trair com ninguém Meu amor você tem minha palavra Porque tudo que um homem precisa eu tenho em casa Já é tarde vamos nos deitar Se quiser conversar na nossa cama Porque sei que tudo isso passa Você me abraça e a gente se ama Eu não vou te trair com ninguém Meu amor você tem minha palavra Porque tudo que um homem precisa eu tenho em casa"
Isso Que É Amor,"Amar, é andar de busão no banco de trás abraçado Amar, é comer junto miojo no mesmo prato Amar, é dividir um cachorro quente no bingo Fingir que é jantar chique num restaurante granfino Amar, pode ter certeza, não tem nada a ver com dinheiro Amar, é coisa de pele e quando pega não tem jeito Amar é dividir um chiclete que resta no meio Amar a gente sente de cara no primeiro beijo Frio, a gente dorme de conchinha num só cobertor Calor, põe pra rodar, põe no três o ventilador Isso que é amor O resto é conversa Isso que é amor A gente se olha, se encosta e se pega Isso que é amor, o resto é conversa Isso que é amor, a gente se olha, se encosta e se pega Amor é assim ó, assim ó, assim ó Amor é assim ó, assim ó, assim ó Na viola é assim ó, assim ó, assim ó Na viola é assim ó, assim ó, assim ó Frio, a gente dorme de conchinha num só cobertor Calor, põe pra rodar, põe no três o ventilador Isso que é amor, o resto é conversa Isso que é amor, a gente se olha, se encosta e se pega Isso que é amor, o resto é conversa Isso que é amor, a gente se olha, se encosta e se pega Isso que é amor, isso que é amor, o resto é conversa Isso que é amor, a gente se olha, se encosta e se pega Isso que é amor Amor é assim ó, assim ó, assim ó Na viola é assim ó, assim ó, assim ó Na viola é assim ó, assim ó, assim ó Isso que é amor"
It Will Rain,"If you ever leave me, baby, Leave some morphine at my door 'Cause it would take a whole lot of medication To realize what we used to have, We don't have it anymore. There's no religion that could save me No matter how long my knees are on the floor Oh so keep in mind all the sacrifices I'm makin' To keep you by my side And keep you from walkin' out the door. 'Cause there'll be no sunlight If I lose you, baby There'll be no clear skies If I lose you, baby Just like the clouds, my eyes will do the same If you walk away Everyday, it will rain, rain, rain I'll never be your mother's favorite Your daddy can't even look me in the eye Oooh if I was in their shoes, I'd be doing the same thing Sayin' there goes my little girl Walkin' with that troublesome guy But they're just afraid of something they can't understand Oooh but little darlin' watch me change their minds Yea for you I'll try I'll try I'll try I'll try I'll pick up these broken pieces 'til I'm bleeding If that'll make you mine 'Cause there'll be no sunlight If I lose you, baby There'll be no clear skies If I lose you, baby Just like the clouds, my eyes will do the same If you walk away Everyday it will rain, rain, rain Oh don't just say goodbye Don't just say goodbye I'll pick up these broken pieces 'til I'm bleeding If that'll make it right 'Cause there'll be no sunlight If I lose you, baby There'll be no clear skies If I lose you, baby And just like the clouds, my eyes will do the same If you walk away Everyday it will rain, rain, rain"
Jogo do Amor,"Joguei como manda o coração Li as regras, aprendi os truques loucos da paixão Tentei, fiz de tudo pra te conquistar de um jeito que você Não me esquecesse mais Mostrei o jogo, dei as cartas Fiz de tudo e mais um pouco do que fui capaz Mas o jogo do amor é mais difícil que pensei Você é tudo o que eu sempre sonhei Olha pra mim Linda, deusa, fada Nuvem de amor, pura magia Quero você meu sol Minha luz, a minha alegria Com você sinto de volta a minha paz Ninguém me faz tão feliz como você me faz Mas o jogo do amor é mais difícil que pensei Você é tudo o que eu sempre sonhei Olha pra mim Linda, deusa, fada Nuvem de amor pura magia Quero você meu sol Minha luz, a minha alegria Com você sinto de volta a minha paz Ninguém me faz tão feliz como você me faz"
Juntos,"Diga, meu amor Se anda um pouco triste como eu Diga o que ficou Da história que a gente viveu Eu caí E tudo agora lembra você Viver sem a gente Não dá mais, porque sei que sou seu Diga por que se foi E quantas vezes se sentiu sozinho, longe Diga o que pensou Pra vir buscar agora o que vivemos antes Eu caí E vi nascer uma força que nem sei de onde Pra seguir E suportar a falta desse amor Diga o que te fez sentir saudade Bote um ponto final Cole de uma vez nossas metades Juntos e shallow now Diga o que te fez sentir saudade Bote um ponto final Cole de uma vez nossas metades Juntos e shallow now Diga o que te fez sentir saudade Bote um ponto final Cole de uma vez nossas metades Juntos e shallow now In the shallow, shallow In the shallow, shallow In the shallow, shallow Juntos e shallow now"
Km 70,"Liga não Deixei um bilhete pra quem quiser ler Que eu viajei Pra algum país distante Já despistei Parentes, vizinhos e amores passados Mas mesmo assim Já temos um plano se alguém descobrir Pede um resgate bem alto Que é pro nosso casamento Nunca deixa ninguém saber Que o nosso cativeiro é grande No km 70 Tem luz negra, você de toalha, espelho no teto O nosso cativeiro é grande No km 70 Tô torcendo pra não acabar esse nosso sequestro Liga não Deixei um bilhete pra quem quiser ler Que eu viajei Pra algum país distante Já despistei Parentes, vizinhos e amores passados Mas mesmo assim Já temos um plano se alguém descobrir Pede um resgate bem alto Que é pro nosso casamento Nunca deixa ninguém saber Que o nosso cativeiro é grande No km 70 Tem luz negra, você de toalha, espelho no teto O nosso cativeiro é grande No km 70 Tô torcendo pra não acabar esse nosso sequestro O nosso cativeiro é grande No km 70 Tem luz negra, você de toalha, espelho no teto O nosso cativeiro é grande No km 70 Tô torcendo pra não acabar esse nosso sequestro Tô torcendo pra não acabar esse nosso sequestro"
Lepo Lepo (part. Psirico),"Ah, eu já não sei o que fazer Duro, pé-rapado, com salário atrasado (Ahh, eu não tenho mais por onde correr) Já fui despejado, o banco levou o meu carro Agora vou conversar com ela Será que ela vai me querer? Agora vou saber a verdade Se é dinheiro ou amor (Ou cumplicidade) Eu não tenho carro Não tenho teto E se ficar comigo é porque gosta Do meu Rá rá rá rá rá rá rá Lepo lepo É tão gostoso quando eu Rá rá rá rá rá rá rá O lepo lepo"
Livre Pra Voar,"Lê lê! lê lê lê lê lê lê lê! Lê lê lê lê lê lê lê lê lê! Lê lê! lê lê lê lê lê lê lê! Lê lê lê lê lê lê lê lê lê! Quando a gente se encontrar Tudo vai ser tão perfeito Eu quero te curtir demais E eu vou aliviar Esse aperto no meu peito Que vontade, não dá mais Se no telefone é bom Imagine aqui bem perto Eu sentindo o teu calor Sem medo de ser feliz Tô com o coração aberto Com você eu tô esperto.... Já me acostumei Com o seu jeitinho De falar no telefone Besteirinhas prá me provocar Quando eu te pegar Cê tá perdida Vai se arrepender De um dia ter me tirado Do meu lugar... Peço, por favor Não se apaixone Pois não sou aquele homem Que um dia o seu pai sonhou Eu só tenho cara de santinho Sempre faço com jeitinho Coitada de quem acreditou... Eu prometo te dar carinho Mas gosto de ser sozinho Livre pra voar Quem sabe outro dia A gente possa Se encontrar de novo Prometo te dar carinho Mas gosto de ser sozinho Livre pra voar Quem sabe um outro dia A gente possa se encontrar... Lê lê! lê lê lê lê lê lê lê! Lê lê lê lê lê lê lê lê lê! Lê lê! lê lê lê lê lê lê lê! Lê lê lê lê lê lê lê lê lê! Quando a gente se encontrar Tudo vai ser tão perfeito Eu quero te curtir demais E eu vou aliviar Esse aperto no meu peito Que vontade, não dá mais Se no telefone é bom Imagine aqui bem perto Eu sentindo o teu calor Sem medo de ser feliz Tô com o coração aberto Com você eu tô esperto... Já me acostumei Com o seu jeitinho De falar no telefone Besteirinhas prá me provocar Quando eu te pegar Cê tá perdida Vai se arrepender De um dia ter me tirado Do meu lugar... Peço, por favor Não se apaixone Pois não sou aquele homem Que um dia o seu pai sonhou Eu só tenho cara de santinho Sempre faço com jeitinho Coitada de quem acreditou... Eu prometo te dar carinho Mas gosto de ser sozinho Livre pra voar Quem sabe um outro dia A gente possa Se encontrar de novo Prometo te dar carinho Mas gosto de ser sozinho Livre pra voar Quem sabe um outro dia A gente possa se encontrar...(2x) Quando a gente se encontrar Tudo vai ser tão perfeito Eu quero te curtir demais"
Lobo Mau (part. Roberto Carlos),"Eu sou do tipo que não gosta de casamento E tudo que eu faço ou falo é fingimento Eu pego o meu carro e começo a rodar E tenho mil garotas uma em cada lugar Me chamam lobo mau, Me chamam lobo mau, Eu sou o tal, tal, tal, tal, tal Eu rodo, rodo, rodo e nunca penso em parar Se vejo um broto lindo logo vou conquistar Todos os rapazes têm inveja de mim Mas eu não dou bola porque sou mesmo assim Me chamam lobo mau, Me chamam lobo mau, Eu sou o tal, tal, tal, tal, tal Eu estou sempre por aí a rodar Eu jogo a rede em qualquer lugar Garotas vivem a brigar por mim Mas nem mesmo sei porque sou mau assim Mas sei que gosto de garotas a me rodear Eu gosto de beijar, depois então me mandar E quando estou rodando e não tenho onde ir Fico até na dúvida com qual eu vou sair Me chamam lobo mau, Me chamam lobo mau, Eu sou o tal, tal, tal, tal, tal"
Londres (part. Breno e Caio Cesar),"Acordei, o sol ainda não apareceu Tudo aqui é cinza e frio, não dá pra entender Um ano parece dez anos longe de você A saudade era demais, por favor, devolva a paz Que eu sentia com você aqui Tudo é maravilhoso mas sem você não é perfeito Londres ficaria com você bem mais bonita Ficaria com você mais colorida Ficaria com você Londres ficaria com você bem mais bonita Ficaria com você mais colorida Ficaria com você Com você Acordei, o sol ainda não apareceu Tudo aqui é cinza e frio, não dá pra entender Um ano parece dez anos longe de você A saudade era demais, por favor, devolva a paz Que eu sentia com você aqui Tudo é maravilhoso mas sem você não é perfeito Londres ficaria com você bem mais bonita Ficaria com você mais colorida Ficaria com você Com você Londres ficaria com você bem mais bonita Ficaria com você mais colorida Com você Londres ficaria com você bem mais bonita Ficaria com você mais colorida Ficaria com você Com você Londres ficaria com você bem mais bonita Ficaria com você mais colorida Ficaria com você Com você"
Longe Daqui (part. Munhoz & Mariano),"Tá com vergonha de mim, tá? Tá com medo do que pensam de nós? Finge que não tem ninguém aqui Fala o que você quiser, quero te ouvir Até quando você vai tentar negar Se enganar, se esconder de si mesma Se prefere, eu posso inventar um lugar diferente Onde não há ninguém pra falar mal da vida da gente Eu te levo pra gente se amar Eu te levo pra gente se amar Pra bem longe daqui Agora se preferir Eu te levo pra gente se amar Eu te levo pra gente se amar Pra bem longe Até quando você vai tentar negar Se enganar, se esconder de si mesma Se prefere, eu posso inventar um lugar diferente Onde não há ninguém pra falar mal da vida da gente Eu te levo pra gente se amar Eu te levo pra gente se amar Pra bem longe Se prefere eu posso inventar um lugar diferente Onde não há ninguém pra falar mal da vida da gente Eu te levo pra gente se amar Eu te levo pra gente se amar Pra bem longe daqui Agora se preferir Eu te levo pra gente se amar Eu te levo pra gente se amar Pra bem longe daqui"
Machista (part. Simone e Simaria),"Não leva a sério o que eu falei Peguei pesado, eu sei Minhas palavras foram precipitadas Falei nada com nada e você ouviu sem merecer Perdi a chance de ficar calado E, no fim, perdi você Foi culpa do ciúme Do meu jeito maluco, machista Não aceito te ver na pista, disponível Foi culpa do ciúme, ciúme Que de novo eu não percebi Eu já sei pra quem te perdi Eu te perdi pra mim, não foi pra ninguém Eu te perdi pra mim Te perdi pra mim, não foi pra ninguém Eu te perdi pra mim Não leve a sério o que eu falei Peguei pesado, eu sei Minhas palavras foram precipitadas Falei nada com nada e você ouviu sem merecer Perdi a chance de ficar calada E, no fim, perdi você Foi culpa do ciúme Do meu jeito maluco, machista Não aceito te ver na pista, disponível Foi culpa do ciúme, ciúme Que de novo eu não percebi Eu já sei pra quem te perdi Ciúme Do meu jeito maluco, machista Não aceito te ver na pista, disponível Culpa do ciúme, ciúme Que de novo eu não percebi Eu já sei pra quem te perdi Eu te perdi pra mim, não foi pra ninguém Eu te perdi pra mim Eu te perdi pra mim, não foi pra ninguém Eu te perdi pra mim"
Madrugada Fria,"A minha vida esta em suas mãos Me envolvi neste romance De corpo alma e coração E agora estou sofrendo Por amor a você, a você E na madrugada fria a cama está vazia E eu aqui sozinho pensando nela, Mas não tem jeito não, o amor que sinto E bem mais forte eu não posso te esquecer Você foi embora e prometeu voltar Pra tirar minha saudade, fazer brilhar o meu olhar, Mas não tem jeito e eu choro, não tem jeito E na madrugada fria a cama está vazia E eu aqui sozinho pensando nela, Mas não tem jeito não, o amor que sinto É bem mais forte eu não posso te esquecer Volta pra mim, estou alucinado Completamente apaixonado E te quero só pra mim"
Mais Que Amigos,"Não é preciso mais adormecer Pra sonhar com um anjo descendo do céu Basta você perceber Que sou mais que um amigo fiel Sou aquele que traz alegria de Deus E a entrega direto ao seu coração E com você vou sorrir e chorar Lado a lado vamos caminhar Quando de ajuda você precisar Dou minha vida pra te resgatar Esse é o desejo de Deus (de Deus) De hoje em diante o seu anjo sou eu Sou muito mais que um amigo Sou o anjo que o Senhor enviou Pode gritar para o mundo ouvir Sou o anjo que o Senhor enviou pra ti Não tenho asas e nem sei voar Mas o que o mundo não pode Eu posso lhe dar Vou lhe mostrar o caminho de Deus Só Ele pode te santificar Quando de ajuda você precisar Dou minha vida pra lhe resgatar Esse é o desejo de Deus (de Deus) De hoje em diante o seu anjo sou eu Sou muito mais que um amigo Sou o anjo que o Senhor enviou Pode gritar para o mundo ouvir Sou o anjo, que o Senhor enviou Quando você se ferir e do céu se afastar Eu lhe trarei para perto de Deus Quando sentir solidão, vem comigo rezar Eu levarei suas preces a Deus Nós somos mais que amigos Somos anjos que o Senhor enviou Vamos gritar para o mundo ouvir Somos anjos que o senhor enviou Nós somos mais que amigos Somos anjos que o Senhor enviou Vamos gritar para o mundo ouvir Somos anjos"
MALDITO GIRASSOL,"Agora eu sei que já era Agora eu sei que acabaram as minhas chances com ela Me bloqueou das suas redes sociais Até aí de boa, mais um término à toa, nada de mais Talvez ela volte atrás, pensei Eu tava triste, mas tava suave Até mandarem sua última postagem Da sua nova tatuagem Um maldito girassol na costela Apagou meu nome dela Me cobriu da pele dela Um maldito girassol tatuado Me deixou no seu passado Realmente eu tô por baixo Agora eu sei que já era (agora eu sei que já era) Agora eu sei que acabaram as minhas chances com ela Me bloqueou das suas redes sociais Até aí de boa, mais um término à toa, nada de mais Talvez ela volte atrás, pensei Eu tava triste, mas tava suave Até mandarem sua última postagem Da sua nova tatuagem Um maldito girassol na costela Apagou meu nome dela Me cobriu da pele dela Um maldito girassol tatuado Me deixou no seu passado Realmente eu tô por baixo Um maldito girassol na costela Apagou meu nome dela Me cobriu da pele dela Um maldito girassol tatuado Me deixou no seu passado Realmente eu tô por baixo Agora eu sei que já era (agora eu sei que já era) Agora eu sei que acabaram as minhas chances com ela"
Mamita (part. CNCO),"[Luan Santana] Quando me olha assim Não sabe o que eu imagino É melhor não falar Se quer saber, vem cá Mamita, vem que eu te ensino [Joel] No te lo guardes, mami ¿Qué ganas si desconfías? En esta noche si Me la das a mí Te sacas la lotería [Luan Santana] Vem, mamita, vem que Tô querendo você Sem razão, sem porquê Me ganhou, fazer o quê? [Richard] Ven que ya no aguanto Ay mamita ven que Tú me gustas tanto Y éste nunca miente [Erick] Juégate la suerte, siempre Hay un factor crucial Que hace que te pongas tu mejor labial Seguro, mami, que tu vienes aquí Gritaré a los cuatro vientos ¡Ay, mamita, vente! [Joel] No te lo guardes, mami ¿Qué ganas si desconfías? En esta noche si Me la das a mí Te sacas la lotería [Luan Santana] Vem, mamita, vem que Tô querendo você Sem razão, sem porquê Me ganhou, fazer o quê? [Richard] Ven que ya no aguanto Ay, mamita, ven que Tú me gustas tanto Y éste nunca miente [Erick] Ven que la noche es joven Ya te llegó la hora de que un hombre como yo te valore Tú sentirás fuego, princesa Te quedarás conmigo hasta que el día venga muñeca [Luan Santana] Quando me olha assim Não sabe o que eu imagino É melhor não falar Se quer saber, vem cá Mamita, vem que eu te ensino [Joel] No te lo guardes, mami ¿Qué ganas si desconfías? En esta noche si Me la das a mí Te sacas la lotería [Luan Santana] Vem, mamita, vem que Tô querendo você Sem razão, sem porquê Me ganhou, fazer o quê? [Richard] Ven que ya no aguanto Ay, mamita, ven que Tú me gustas tanto Y éste nunca miente [Erick e Luan Santana] Y ay, mamita ¿Qué quiénes somos? ¡CNCO! Icon Music Vem, mamita Agora no Brasil Luan Santana CNCO É nóis!"
Mãos Para o Alto Novinha,"Mãos para o alto novinha Mãos para o alto novinha Mãos para o alto novinha Mãos para o alto novinha Por porque porque hoje tu tá presa Tu tem direito de sentar Tem direito de gritar Tem direito de sentar de ficar de rebolar Tem direito de sentar Tem direito de gritar Tem direito de sentar de ficar de rebolar Fica caladinha Fica caladinha Fica caladinha E desce, desce novinha Mãos para o alto novinha Mãos para o alto novinha Mãos para o alto novinha Mãos para o alto novinha Tu tem direito de sentar Tem direito de gritar Tem direito de sentar de ficar de rebolar Tem direito de sentar Tem direito de gritar Tem direito de sentar de ficar de rebolar Fica caladinha Fica caladinha Fica caladinha E desce, desce novinha Mãos para o alto novinha Mãos para o alto novinha Com Maycon e Renato tu vai ter que mexer Mãos para o alto novinha Mãos para o alto novinha Mãos para o alto !"
MC Lençol e DJ Travesseiro,"O conquistador aposentou, pra mim já deu Troquei mil por uma e essa uma, por mil valeu Que dane-se as farras e os dias de Carnaval Pede pro DJ anunciar Por ela eu parei com os rolê, tô caseiro Deixei pra trás o pegador, baladeiro Dei de presente o paredão pros parceiro Só ouço MC Lençol e DJ Travesseiro Parei com os rolê, tô caseiro Deixei pra trás o pegador, baladeiro Dei de presente o paredão pros parceiro Só ouço MC Lençol e DJ Travesseiro O conquistador aposentou, pra mim já deu Troquei mil por uma e essa uma, por mil valeu Que dane-se as farras e o dia de Carnaval Pede pro DJ anunciar Por ela eu parei com os rolê, tô caseiro Deixei pra trás o pegador, baladeiro Dei de presente o paredão pros parceiro Só ouço MC Lençol e DJ Travesseiro Parei com os rolê, tô caseiro Deixei pra trás o pegador, baladeiro Dei de presente o paredão pros parceiro Só ouço MC Lençol e DJ Travesseiro Por ela eu parei com os rolê, tô caseiro (quê?) Deixei pra trás o pegador, baladeiro (será?) Dei de presente o paredão pros parceiro (não, tô falando sério, eu juro!) Só ouço MC Lençol (te amo, minha nega) Parei com os rolê, tô caseiro Deixei pra trás o pegador, baladeiro Dei de presente o paredão pros parceiro Só ouço MC Lençol e DJ Travesseiro"
Me Apaixonei,"A primeira vez que eu te vi Pensei até que fosse uma miragem Ao me aproximar tentei falar Faltou coragem... A primeira vez que eu te vi Gamei, apaixonei Senti que era amor de verdade A primeira vez que eu te vi Gamei, apaixonei  Senti que era amor de verdade... Me apaixonei! Quando vi os teus lindos olhos brilhando Em outra direção olhando E eu não existia pra você... Me apavorei! Quando vi o seu sorriso Lindo, se abrindo despedindo e indo Chorei sem querer Quando vi o seu sorriso Lindo, se abrindo despedindo e indo Chorei sem querer... Me apaixonei! Quando vi os teus lindos olhos brilhando Em outra direção olhando E eu não existia pra você... Me apavorei! Quando vi o seu sorriso Lindo, se abrindo despedindo e indo Chorei sem querer Quando vi o seu sorriso Lindo, se abrindo despedindo e indo Chorei sem querer..."
Me Deixaria Aqui,"Se um dia você lesse no jornal Que o mundo tava acabando em caos Você ia vir me tirar daqui? Desse balcão frio de um bar vazio? Me levar pra casa, me chamar pra dentro Dizer que até o fim do mundo é meu o seu tempo? Ou você me deixaria aqui Até que desse amor não sobre mais nada? Até que a nossa história fique soterrada E caia em mãos erradas la na frente? Por favor, só não me deixe aqui Se me restasse apenas mais um dia Você me salvaria? Ou você me deixaria aqui?"
ME DESBLOQUEIA AÍ,"Você não precisa de nenhum livro de autoajuda Você só precisa de um cheiro meu na sua nuca Você não precisa de uma sessão de terapia Você só precisa de uma noite mal dormida Marca com outro Um barzinho na sexta, um motel no domingo Mas aguenta os déjà vu comigo Sua vida vai ser isso aí Enquanto não admitir que Sou aquela saudade ruim que você quer sentir Sou a pessoa que odeia, mas quer bem aí Eu sou aquele nunca mais que cê quer repetir Que eu tenho a voz que te arrepia, mas não quer ouvir Sou aquela saudade ruim que você quer sentir Sou a pessoa que odeia, mas quer bem aí Eu sou aquele nunca mais que cê quer repetir Que eu tenho a voz que te arrepia, mas não quer ouvir Me desbloqueia aí Marca com outro Um barzinho na sexta, um motel no domingo Mas aguenta os déjà vu comigo Sua vida vai ser isso aí Enquanto não admitir Que sou aquela saudade ruim que você quer sentir Sou a pessoa que odeia, mas quer bem aí Eu sou aquele nunca mais que cê quer repetir Que eu tenho a voz que te arrepia, mas não quer ouvir Sou aquela saudade ruim que você quer sentir Sou a pessoa que odeia, mas quer bem aí Eu sou aquele nunca mais que cê quer repetir Que eu tenho a voz que te arrepia, mas não quer ouvir Me desbloqueia aí Me desbloqueia aí"
"Me Desculpe, Mas Eu Sou Fiel (part. Marília Mendonça)","Não adianta vir me prometendo o céu Suas declarações de amor não vão me conquistar Palavras doces num pedaço de papel Sinto muito, me desculpe mas eu sou fiel Você nunca acreditou no meu amor E eu calada aceitava suas traições Por outro alguém hoje estou apaixonada Foi você quem escolheu, foi você quem perdeu Me perdeu Esqueça o meu rosto, e o meu telefone Não mande mensagem, esqueça o meu nome Meu corpo, alma e coração Já é de outro homem Esqueça as promessas, o louco desejo Esqueça o perfume, o gosto do beijo Dessa flor não irá mais tirar uma gota de mel Desculpe mas eu sou fiel Você nunca acreditou no meu amor E eu calada aceitava suas traições Por outro alguém hoje estou apaixonada Foi você quem escolheu, foi você quem perdeu Me perdeu Esqueça o meu rosto, e o meu telefone Não mande mensagem, esqueça o meu nome Meu corpo, alma e coração Já é de outro homem Esqueça as promessas, o louco desejo Esqueça o perfume, o gosto do beijo Dessa flor não irá mais tirar uma gota de mel Desculpe mas eu sou fiel Você nunca acreditou no meu amor E eu calada aceitava suas traições Por outro alguém hoje estou apaixonada Foi você quem escolheu, foi você quem perdeu Me perdeu Esqueça o meu rosto, e o meu telefone Não mande mensagem, esqueça o meu nome Meu corpo, alma e coração Já é de outro homem Esqueça as promessas, o louco desejo Esqueça o perfume, o gosto do beijo Dessa flor não irá mais tirar uma gota de mel Desculpe mas eu sou fiel Eu sou fiel"
ME USA,"Eu não nasci pra ser usado desse jeito Pra enfeitar sua prateleira de brinquedo Não tenho vocação pra ser seu passatempo Queria alguém que me amasse 100% Mas quando cê tá por cima, vai tudo água a baixo Não saio da cama, mas vou pro espaço Meu coração falando: Fuja E o tesão gritando alto Me usa, toma meu corpo e me usa Não quero mão dada na rua Eu tenho princípio e conduta, mas cê me muda, nua Me usa, toma meu corpo e me usa Não quero mão dada na rua Eu tenho princípio e conduta, mas cê me muda, nua Tento desviar, mas eu não consigo De manhã, eu recuso, de noite, eu ligo Fico perguntando onde é que eu vou parar desse jeito O chá que você dá é violento Eu tento resistir, mas não aguento É que você vem por cima e vai tudo água a baixo Não saio da cama, mas vou pro espaço Meu coração falando: fuja E o tesão gritando alto Me usa, toma meu corpo e me usa Não quero mão dada na rua Eu tenho princípio e conduta, mas cê me muda, nua Me usa, toma meu corpo e me usa Não quero mão dada na rua Eu tenho princípio e conduta, mas cê me muda, nua"
