titulo,letra,letra_limpa
Erro Planejado (part. Henrique e Juliano),"Um erro cometido mais que uma vez É uma decisão Desculpa, mas não tem como eu te dar duas vezes O meu perdão Ninguém foi lá naquele bar Colocar uma boca na sua boca e te obrigar a beijar Eu não tava lá na sua mente Mas eu sei que esse erro foi pensado, planejado e consciente A culpa é sempre de uma briga, de umas pinga De uma amiga que te arrasta pra rua Mas as perna é sua Você é sempre inocente, mente que nem sente E sempre erra como nunca, uô A culpa é sempre de uma briga, de umas pinga De uma amiga que te arrasta pra rua Mas as perna é sua Você é sempre inocente, mente que nem sente Sempre erra como nunca Era só terminar antes de trair Era só terminar que eu deixava cê ir Ninguém foi lá naquele bar Colocar uma boca na sua boca e te obrigar a beijar Eu não tava lá na sua mente Mas eu sei que esse erro foi pensado, planejado e consciente A culpa é sempre de uma briga, de umas pinga De uma amiga que te arrasta pra rua Mas as perna é sua Você é sempre inocente, mente que nem sente Sempre erra como nunca A culpa é sempre de uma briga, de umas pinga De uma amiga que te arrasta pra rua Mas as perna é sua Você é sempre inocente, mente que nem sente E sempre erra como nunca, uô Era só terminar antes de trair Era só terminar que eu deixava cê ir",um erro cometido mais que uma vez é uma decisão desculpa mas não tem como eu te dar duas vezes o meu perdão ninguém foi lá naquele bar colocar uma boca na sua boca e te obrigar a beijar eu não tava lá na sua mente mas eu sei que esse erro foi pensado planejado e consciente a culpa é sempre de uma briga de umas pinga de uma amiga que te arrasta pra rua mas as perna é sua voc é sempre inocente mente que nem sente e sempre erra como nunca u a culpa é sempre de uma briga de umas pinga de uma amiga que te arrasta pra rua mas as perna é sua voc é sempre inocente mente que nem sente sempre erra como nunca era só terminar antes de trair era só terminar que eu deixava c ir ninguém foi lá naquele bar colocar uma boca na sua boca e te obrigar a beijar eu não tava lá na sua mente mas eu sei que esse erro foi pensado planejado e consciente a culpa é sempre de uma briga de umas pinga de uma amiga que te arrasta pra rua mas as perna é sua voc é sempre inocente mente que nem sente sempre erra como nunca a culpa é sempre de uma briga de umas pinga de uma amiga que te arrasta pra rua mas as perna é sua voc é sempre inocente mente que nem sente e sempre erra como nunca u era só terminar antes de trair era só terminar que eu deixava c ir
ERROU NO TIME,"Foi bem elaborado esse pedido de desculpas Me senti num filme, série, ou algo assim Gastou mó tempão, escreveu à mão 50 páginas de sentimentos pra pedir perdão Que bonitinha, mas, então Você acertou em tudo No perfume, no relógio que eu sempre quis Tá vendo aí? Cê sempre soube como me fazer feliz Só errou no time Time, time, time Em troca, eu só te digo bye Bye, bye, bye Cê só errou no time Time, time, time Em troca, eu só te digo bye Bye, bye, bye Igual meu coração, o seu relógio tá quebrado É que você me amou um ano atrasado Se quer perdão, tá perdoado Gastou mó tempão, escreveu à mão 50 páginas de sentimentos pra pedir perdão Que bonitinha, mas, então Você acertou em tudo No perfume, no relógio que eu sempre quis Tá vendo aí? Cê sempre soube como me fazer feliz Só errou no time Time, time, time Em troca, eu só te digo bye Bye, bye, bye Cê só errou no time Time, time, time Em troca, eu só te digo bye Bye, bye, bye Igual meu coração, o seu relógio tá quebrado É que você me amou um ano atrasado Se quer perdão, tá perdoado Cê só errou no time Time, time, time Em troca, eu só te digo bye Bye, bye, bye",foi bem elaborado esse pedido de desculpas me senti num filme série ou algo assim gastou mó tempão escreveu mão páginas de sentimentos pra pedir perdão que bonitinha mas então voc acertou em tudo no perfume no relógio que eu sempre quis tá vendo aí c sempre soube como me fazer feliz só errou no time time time time em troca eu só te digo bye bye bye bye c só errou no time time time time em troca eu só te digo bye bye bye bye igual meu coração o seu relógio tá quebrado é que voc me amou um ano atrasado se quer perdão tá perdoado gastou mó tempão escreveu mão páginas de sentimentos pra pedir perdão que bonitinha mas então voc acertou em tudo no perfume no relógio que eu sempre quis tá vendo aí c sempre soube como me fazer feliz só errou no time time time time em troca eu só te digo bye bye bye bye c só errou no time time time time em troca eu só te digo bye bye bye bye igual meu coração o seu relógio tá quebrado é que voc me amou um ano atrasado se quer perdão tá perdoado c só errou no time time time time em troca eu só te digo bye bye bye bye
Esperando Aviões,Meus olhos te viram triste Olhando pro infinito Tentando ouvir o som do próprio grito E o louco que ainda me resta Só quis te levar pra festa Você me amou de um jeito tão aflito Que eu queria poder te dizer sem palavras Eu queria poder te cantar sem canções Eu queria viver morrendo em sua teia Seu sangue correndo em minha veia Seu cheiro morando em meus pulmões Cada dia que passo sem sua presença Sou um presidiário cumprindo sentença Sou um velho diário perdido na areia Esperando que você me leia Sou pista vazia esperando aviões Meus olhos te viram triste Olhando pro infinito Tentando ouvir o som do próprio grito E o louco que ainda me resta Só quis te levar pra festa Você me amou de um jeito tão aflito Que eu queria poder te dizer sem palavras Eu queria poder te cantar sem canções Eu queria viver morrendo em sua teia Seu sangue correndo em minha veia Seu cheiro morando em meus pulmões Cada dia que passo sem sua presença Sou um presidiário cumprindo sentença Sou um velho diário perdido na areia Esperando que você me leia Sou pista vazia esperando aviões,meus olhos te viram triste olhando pro infinito tentando ouvir o som do próprio grito e o louco que ainda me resta só quis te levar pra festa voc me amou de um jeito tão aflito que eu queria poder te dizer sem palavras eu queria poder te cantar sem canções eu queria viver morrendo em sua teia seu sangue correndo em minha veia seu cheiro morando em meus pulmões cada dia que passo sem sua presença sou um presidiário cumprindo sentença sou um velho diário perdido na areia esperando que voc me leia sou pista vazia esperando aviões meus olhos te viram triste olhando pro infinito tentando ouvir o som do próprio grito e o louco que ainda me resta só quis te levar pra festa voc me amou de um jeito tão aflito que eu queria poder te dizer sem palavras eu queria poder te cantar sem canções eu queria viver morrendo em sua teia seu sangue correndo em minha veia seu cheiro morando em meus pulmões cada dia que passo sem sua presença sou um presidiário cumprindo sentença sou um velho diário perdido na areia esperando que voc me leia sou pista vazia esperando aviões
Espumas Ao Vento,"Sei que aí dentro ainda mora um pedacinho de mim Um grande amor não se acaba assim Feito espumas ao vento Não é coisa de momento, raiva passageira Mania que dá e passa, feito brincadeira O amor deixa marcas que não dá pra apagar Sei que errei, tô aqui pra te pedir perdão Cabeça doida, coração na mão Desejo pegando fogo E sem saber direito a hora e o que fazer Eu não encontro uma palavra só pra te dizer Ai, se eu fosse você eu voltava pra mim de novo E de uma coisa fique certa, amor A porta vai estar sempre aberta, amor O meu olhar vai dar uma festa, amor Na hora que você chegar E de uma coisa fique certa, amor A porta vai estar sempre aberta, amor O meu olhar vai dar uma festa, amor Na hora que você chegar Sei que errei, tô aqui pra te pedir perdão Cabeça doida, coração na mão Desejo pegando fogo E sem saber direito a hora e o que fazer Eu não encontro uma palavra só pra te dizer Ah! Se eu fosse você eu voltava pra mim de novo",sei que aí dentro ainda mora um pedacinho de mim um grande amor não se acaba assim feito espumas ao vento não é coisa de momento raiva passageira mania que dá e passa feito brincadeira o amor deixa marcas que não dá pra apagar sei que errei t aqui pra te pedir perdão cabeça doida coração na mão desejo pegando fogo e sem saber direito a hora e o que fazer eu não encontro uma palavra só pra te dizer ai se eu fosse voc eu voltava pra mim de novo e de uma coisa fique certa amor a porta vai estar sempre aberta amor o meu olhar vai dar uma festa amor na hora que voc chegar e de uma coisa fique certa amor a porta vai estar sempre aberta amor o meu olhar vai dar uma festa amor na hora que voc chegar sei que errei t aqui pra te pedir perdão cabeça doida coração na mão desejo pegando fogo e sem saber direito a hora e o que fazer eu não encontro uma palavra só pra te dizer ah se eu fosse voc eu voltava pra mim de novo
Esqueci de Te Esquecer,"Eu sei que já não tenho idade pra ficar tão dependente Mas eu mudei quanto te olhei Você me fez pensar pra frente Por mais que eu tente desviar Tô sempre em sua direção Parece que soltei do mundo E segurei só na sua mão Tava pensando em te roubar Fugir pra longe do país Morar num lugarzinho em cancún Não é o que você sempre quis Sem precisar me preocupar Em te levar pra casa cedo Enquanto eu tiver do seu lado Não precisa mais ter medo Porque se me perguntar Quem eu respiro é você, você, você Se for pra escolher O céu ou terra, eu respondo você Se quiser saber Minha alegria é te ver, te ver, te ver Quem sabe eu te quero Tanto assim porque esqueci de te esquecer",eu sei que já não tenho idade pra ficar tão dependente mas eu mudei quanto te olhei voc me fez pensar pra frente por mais que eu tente desviar t sempre em sua direção parece que soltei do mundo e segurei só na sua mão tava pensando em te roubar fugir pra longe do país morar num lugarzinho em cancún não é o que voc sempre quis sem precisar me preocupar em te levar pra casa cedo enquanto eu tiver do seu lado não precisa mais ter medo porque se me perguntar quem eu respiro é voc voc voc se for pra escolher o céu ou terra eu respondo voc se quiser saber minha alegria é te ver te ver te ver quem sabe eu te quero tanto assim porque esqueci de te esquecer
Essa História Eu Conheço,Eu jurei que nunca mais Iria encontrar você de novo Nem ouvir a sua voz Tentando te esquecer virei o jogo Eu jurei que nunca mais Iria te ligar de madrugada Resolvi pensar em mim Vai ser agora ou nunca Tudo ou nada Se eu te encontrar por ai Não sei se vou resistir Porque eu ainda te amo Amor que fica e que dói Ninguém no mundo destroí Essa saudade me mata Queria tanto te ver E não me arrepender Voltar de novo ao começo Já to me vendo chorar Se pra você eu voltar Pois essa história eu conheço,eu jurei que nunca mais iria encontrar voc de novo nem ouvir a sua voz tentando te esquecer virei o jogo eu jurei que nunca mais iria te ligar de madrugada resolvi pensar em mim vai ser agora ou nunca tudo ou nada se eu te encontrar por ai não sei se vou resistir porque eu ainda te amo amor que fica e que dói ninguém no mundo destroí essa saudade me mata queria tanto te ver e não me arrepender voltar de novo ao começo já to me vendo chorar se pra voc eu voltar pois essa história eu conheço
Esse Cara Sou Eu,"O cara que pensa em você toda hora Que conta os segundos se você demora Que está todo o tempo querendo te ver Porque já não sabe ficar sem você E no meio da noite te chama Pra dizer que te ama Esse cara sou eu O cara que pega você pelo braço Esbarra em quem for que interrompa seus passos Está do seu lado pro que der e vier O herói esperado por toda mulher Por você ele encara o perigo Seu melhor amigo Esse cara sou eu O cara que ama você do seu jeito Que depois do amor você se deita em seu peito Te acaricia os cabelos, te fala de amor Te fala outras coisas, te causa calor De manhã você acorda feliz Num sorriso que diz Esse cara sou eu Esse cara sou eu Eu sou o cara certo pra você Que te faz feliz e que te adora Que enxuga seu pranto quando você chora Esse cara sou eu Esse cara sou eu O cara que sempre te espera sorrindo Que abre a porta do carro quando você vem vindo Te beija na boca, te abraça feliz Apaixonado te olha e te diz Que sentiu sua falta e reclama Ele te ama Esse cara sou eu Esse cara sou eu Esse cara sou eu Esse cara sou eu",o cara que pensa em voc toda hora que conta os segundos se voc demora que está todo o tempo querendo te ver porque já não sabe ficar sem voc e no meio da noite te chama pra dizer que te ama esse cara sou eu o cara que pega voc pelo braço esbarra em quem for que interrompa seus passos está do seu lado pro que der e vier o herói esperado por toda mulher por voc ele encara o perigo seu melhor amigo esse cara sou eu o cara que ama voc do seu jeito que depois do amor voc se deita em seu peito te acaricia os cabelos te fala de amor te fala outras coisas te causa calor de manhã voc acorda feliz num sorriso que diz esse cara sou eu esse cara sou eu eu sou o cara certo pra voc que te faz feliz e que te adora que enxuga seu pranto quando voc chora esse cara sou eu esse cara sou eu o cara que sempre te espera sorrindo que abre a porta do carro quando voc vem vindo te beija na boca te abraça feliz apaixonado te olha e te diz que sentiu sua falta e reclama ele te ama esse cara sou eu esse cara sou eu esse cara sou eu esse cara sou eu
Estaca Zero (part. Ivete Sangalo),"Se beber hoje fosse minha única opção Pra por um curativo no meu coração Até te esqueceria por cinco minutos Mas não pra sempre É a primeira vez que eu vou sair sozinho E o banco do carona hoje tá tão vazio Até bateu saudade do seu mau humor E quando me chamava de amor, uoh uoh Respeitei a sua decisão Quando a gente terminou, uoh uoh Meu coração não aguentou, juro Mas foi só te ver Caiu a ficha do quanto eu te quero Que recaída, eu tô falando sério Parei, pensei e não me segurei Olha eu de novo na estaca zero Caiu a ficha do quanto eu te quero Que recaída, eu tô falando sério Parei, pensei e não me segurei Olha eu de novo na estaca zero Se beber hoje fosse minha única opção Pra por um curativo no meu coração Até te esqueceria por cinco minutos Mas não pra sempre É a primeira vez que eu vou sair sozinho E o banco do carona hoje tá tão vazio Até bateu saudade do seu mau humor E quando me chamava de amor, uoh uoh Respeitei a sua decisão Quando a gente terminou, uoh uoh Meu coração não aguentou, juro Mas foi só te ver Caiu a ficha de quanto eu te quero Que recaída, eu tô falando sério Parei, pensei e não me segurei Olha eu de novo na estaca zero Caiu a ficha de quanto eu te quero Que recaída, eu tô falando sério Parei, pensei e não me segurei Olha eu de novo na estaca zero Parei, pensei e não me segurei Olha eu de novo na estaca zero Caiu a ficha de quanto eu te quero Falando sério Parei, pensei e não me segurei Se beber hoje fosse minha única opção",se beber hoje fosse minha única opção pra por um curativo no meu coração até te esqueceria por cinco minutos mas não pra sempre é a primeira vez que eu vou sair sozinho e o banco do carona hoje tá tão vazio até bateu saudade do seu mau humor e quando me chamava de amor uoh uoh respeitei a sua decisão quando a gente terminou uoh uoh meu coração não aguentou juro mas foi só te ver caiu a ficha do quanto eu te quero que recaída eu t falando sério parei pensei e não me segurei olha eu de novo na estaca zero caiu a ficha do quanto eu te quero que recaída eu t falando sério parei pensei e não me segurei olha eu de novo na estaca zero se beber hoje fosse minha única opção pra por um curativo no meu coração até te esqueceria por cinco minutos mas não pra sempre é a primeira vez que eu vou sair sozinho e o banco do carona hoje tá tão vazio até bateu saudade do seu mau humor e quando me chamava de amor uoh uoh respeitei a sua decisão quando a gente terminou uoh uoh meu coração não aguentou juro mas foi só te ver caiu a ficha de quanto eu te quero que recaída eu t falando sério parei pensei e não me segurei olha eu de novo na estaca zero caiu a ficha de quanto eu te quero que recaída eu t falando sério parei pensei e não me segurei olha eu de novo na estaca zero parei pensei e não me segurei olha eu de novo na estaca zero caiu a ficha de quanto eu te quero falando sério parei pensei e não me segurei se beber hoje fosse minha única opção
Eu Ando Mentindo Demais,"Cê tá certa Eu ando mentindo demais Ontem eu disse eu te amo, né? Até o fim da minha vida, né? Eu menti Se tiver outra vida eu vou te amar também E tem mais Quando eu chegar cansado em casa Vou mentir que tô sem sono Que ainda aguento uma noite inteira Ouvindo como foi seu dia Eu só minto porque a mentira até certo ponto Serve pra omitir verdades que querem escapar Do coração que não tem freio, não tem filtro quando ama Quer gritar pro mundo que achou quem tanto procurou Cê tá certa, eu tô mentindo demais Eu só minto porque a mentira até certo ponto Serve pra omitir verdades que querem escapar Do coração que não tem freio, não tem filtro quando ama Quer gritar pro mundo que achou quem tanto procurou Cê tá certa, eu tô mentindo demais",c tá certa eu ando mentindo demais ontem eu disse eu te amo né até o fim da minha vida né eu menti se tiver outra vida eu vou te amar também e tem mais quando eu chegar cansado em casa vou mentir que t sem sono que ainda aguento uma noite inteira ouvindo como foi seu dia eu só minto porque a mentira até certo ponto serve pra omitir verdades que querem escapar do coração que não tem freio não tem filtro quando ama quer gritar pro mundo que achou quem tanto procurou c tá certa eu t mentindo demais eu só minto porque a mentira até certo ponto serve pra omitir verdades que querem escapar do coração que não tem freio não tem filtro quando ama quer gritar pro mundo que achou quem tanto procurou c tá certa eu t mentindo demais
Eu e Meu Pai,"Olha lá o meu pai, com as mãos calejadas Perdendo seu resto de vida, no cabo da enxada Eu não queria que fosse assim, pra mim seria tudo diferente Queria ter meu pai na cidade morando alegre junto da gente De que vale ter diploma, ter conforto ter de tudo Se eu não posso ter em casa aquele que me pôs no mundo Estudei por tantos anos, para tirá-lo daqui Meu esforço foi em vão porque ele não quer ir Quando é de manhãzinha e o dia vem chegando Ele escuta seu despertador no poleiro cantando Ele chama seu melhor amigo que vai latindo e correndo na frente E vem pro trabalho pesado aqui debaixo desse Sol ardente Nesse carro eu me vejo bem vestido e perfumado Sofro tanto vendo ele de suor todo molhado Olha a condução do velho lá na corda amarrada Olha a geladeira dele lá na sombra encostada Quando é de tardezinha vai pra sua casinha Comer seu feijão com arroz feito no fogão à lenha E na sua poltrona de angico ele vai sentar comovido E na tela maior do mundo ele contempla seus filmes preferidos Na televisão do velho não tem filme de bandido Não tem filmes policiais e nem filmes proibidos No canal do infinito sua TV é ligada Só aparecem as estrelas e a Lua prateada Olha lá o meu pai",olha lá o meu pai com as mãos calejadas perdendo seu resto de vida no cabo da enxada eu não queria que fosse assim pra mim seria tudo diferente queria ter meu pai na cidade morando alegre junto da gente de que vale ter diploma ter conforto ter de tudo se eu não posso ter em casa aquele que me ps no mundo estudei por tantos anos para tirálo daqui meu esforço foi em vão porque ele não quer ir quando é de manhãzinha e o dia vem chegando ele escuta seu despertador no poleiro cantando ele chama seu melhor amigo que vai latindo e correndo na frente e vem pro trabalho pesado aqui debaixo desse sol ardente nesse carro eu me vejo bem vestido e perfumado sofro tanto vendo ele de suor todo molhado olha a condução do velho lá na corda amarrada olha a geladeira dele lá na sombra encostada quando é de tardezinha vai pra sua casinha comer seu feijão com arroz feito no fogão lenha e na sua poltrona de angico ele vai sentar comovido e na tela maior do mundo ele contempla seus filmes preferidos na televisão do velho não tem filme de bandido não tem filmes policiais e nem filmes proibidos no canal do infinito sua tv é ligada só aparecem as estrelas e a lua prateada olha lá o meu pai
Eu e Você,"Eu moro aqui você mora aí estamos tão longe Será que vai dar certo Essa distância aumenta saudades ? Por que foi morar longe da minha cidade ? Eu te amo, você me ama, a distância não vai impedir A minha grana gastei ligando toda noite pra ti Tudo por amor Campo Grande é longe, tô pegando ônibus pra te encontrar Eu tô indo pra aí, a saudade até me fez chorar Eu moro aqui você mora aí estamos tão longe Será que vai da certo ? Eu moro aqui você mora aí   estamos tão longe Será que vai da certo ? Eu te amo, você me ama, a distância não vai impedir A minha grana gastei ligando toda noite pra ti tudo por amor Campo Grande é longe, tô pegando ônibus pra te encontrar Mas eu tô indo pra aí a saudade até me fez chorar",eu moro aqui voc mora aí estamos tão longe será que vai dar certo essa distncia aumenta saudades por que foi morar longe da minha cidade eu te amo voc me ama a distncia não vai impedir a minha grana gastei ligando toda noite pra ti tudo por amor campo grande é longe t pegando nibus pra te encontrar eu t indo pra aí a saudade até me fez chorar eu moro aqui voc mora aí estamos tão longe será que vai da certo eu moro aqui voc mora aí estamos tão longe será que vai da certo eu te amo voc me ama a distncia não vai impedir a minha grana gastei ligando toda noite pra ti tudo por amor campo grande é longe t pegando nibus pra te encontrar mas eu t indo pra aí a saudade até me fez chorar
Eu Mereço,"Foi só uma noite e nada mais Era pra ser só uma transa a mais Mas não foi assim como eu pensei De repente um vinho, um clima bom Um toque de carinho, aquele som Sem perceber aos poucos me entreguei Foi um lance de desejo antigo Não sei o que aconteceu comigo Eu nunca transei ninguém assim Só que eu dormi depois do amor E quando a manhã me acordou Estava sem ela e sem mim O que é que a gente faz quando a paixão vem de repente Feito um raio, rouba a paz e invade o coração da gente Muda da noite pro dia um sentimento por alguém O que é que a gente faz quando a noite foi gostosa Você fez e aconteceu com uma mulher maravilhosa Mas acorda no silêncio de um quarto sem ninguém Né, vira inferno o que era céu Tô num quarto de motel Sem nome, sem endereço Né, quem mandou me dar assim Isso é bem feito pra mim Manda outra que eu mereço Foi um lance de desejo antigo Não sei o que aconteceu comigo Eu nunca transei ninguém assim Só que eu dormi depois do amor E quando a manhã me acordou Estava sem ela e sem mim O que é que faz quando a paixão vem de repente Feito um raio, rouba a paz e invade o coração da gente Muda da noite pro dia um sentimento por alguém O que é que a gente faz quando a noite foi gostosa Você fez e aconteceu com uma mulher maravilhosa Mas acorda no silêncio de um quarto sem ninguém Né, vira inferno o que era céu Tô num quarto de motel Sem nome, sem endereço Né, quem mandou me dar assim Isso é bem feito pra mim Manda outra que eu mereço!",foi só uma noite e nada mais era pra ser só uma transa a mais mas não foi assim como eu pensei de repente um vinho um clima bom um toque de carinho aquele som sem perceber aos poucos me entreguei foi um lance de desejo antigo não sei o que aconteceu comigo eu nunca transei ninguém assim só que eu dormi depois do amor e quando a manhã me acordou estava sem ela e sem mim o que é que a gente faz quando a paixão vem de repente feito um raio rouba a paz e invade o coração da gente muda da noite pro dia um sentimento por alguém o que é que a gente faz quando a noite foi gostosa voc fez e aconteceu com uma mulher maravilhosa mas acorda no silncio de um quarto sem ninguém né vira inferno o que era céu t num quarto de motel sem nome sem endereço né quem mandou me dar assim isso é bem feito pra mim manda outra que eu mereço foi um lance de desejo antigo não sei o que aconteceu comigo eu nunca transei ninguém assim só que eu dormi depois do amor e quando a manhã me acordou estava sem ela e sem mim o que é que faz quando a paixão vem de repente feito um raio rouba a paz e invade o coração da gente muda da noite pro dia um sentimento por alguém o que é que a gente faz quando a noite foi gostosa voc fez e aconteceu com uma mulher maravilhosa mas acorda no silncio de um quarto sem ninguém né vira inferno o que era céu t num quarto de motel sem nome sem endereço né quem mandou me dar assim isso é bem feito pra mim manda outra que eu mereço
Eu Não Merecia Isso,"Que burrice você fez Destruiu os nossos planos Em troca de uma noite no motel Esqueceu da nossa linda lua de mel Que burrice você fez Foi bem mais que desumano O nosso casamento era tão lindo Eu não esperava isso de você, não Agora some, vou esquecer seu nome Eu vou mudar de telefone Aí você não vai me ver mais Vai, some, vou esquecer seu nome Eu vou mudar de telefone Aí você não vai me ver mais Te amei, fui sincero, te quis E você sabe disso Eu não merecia isso Eu não merecia isso Te amei, fui sincero, te quis E você sabe disso Eu não merecia isso Eu não merecia isso Eu não merecia isso Agora some, vou esquecer seu nome Eu vou mudar de telefone Aí você não vai me ver mais Vai, some, vou esquecer seu nome Eu vou mudar de telefone Aí você não vai me ver mais Te amei, fui sincero, te quis E você sabe disso Eu não merecia isso Eu não merecia isso Te amei, fui sincero, te quis E você sabe disso Eu não merecia isso Eu não merecia isso Eu não merecia isso",que burrice voc fez destruiu os nossos planos em troca de uma noite no motel esqueceu da nossa linda lua de mel que burrice voc fez foi bem mais que desumano o nosso casamento era tão lindo eu não esperava isso de voc não agora some vou esquecer seu nome eu vou mudar de telefone aí voc não vai me ver mais vai some vou esquecer seu nome eu vou mudar de telefone aí voc não vai me ver mais te amei fui sincero te quis e voc sabe disso eu não merecia isso eu não merecia isso te amei fui sincero te quis e voc sabe disso eu não merecia isso eu não merecia isso eu não merecia isso agora some vou esquecer seu nome eu vou mudar de telefone aí voc não vai me ver mais vai some vou esquecer seu nome eu vou mudar de telefone aí voc não vai me ver mais te amei fui sincero te quis e voc sabe disso eu não merecia isso eu não merecia isso te amei fui sincero te quis e voc sabe disso eu não merecia isso eu não merecia isso eu não merecia isso
Eu Não Presto,"Muito antes Dessa lágrima cair na sua bochecha Muito antes De você lotar de mim sua cabeça Te falei que não era pra se iludir E muito menos se apegar Te avisei que eu era da rua Que coração bandido não tem cura Não tem cura Eu não presto Já sou o caso perdido E você sabia disso Você já sabia disso Que eu não presto Meu amor, não vale o risco Mas você sabia disso Se envolveu sabendo disso Você foi surreal Marcou demais Eu nunca vou esquecer da gente Mas eu não vou mudar Esquece Se depender de mim, vou ser assim pra sempre Te falei que não era pra se iludir E muito menos se apegar (Não se apega, não) Te avisei que eu era da rua Que coração bandido não tem cura Não tem cura Eu não presto Já sou o caso perdido E você sabia disso Você já sabia disso Que eu não presto Meu amor, não vale o risco Mas você sabia disso Se envolveu sabendo Eu não presto Já sou o caso perdido E você sabia disso Você já sabia disso Que eu não presto Meu amor, não vale o risco Mas você sabia disso Se envolveu sabendo disso",muito antes dessa lágrima cair na sua bochecha muito antes de voc lotar de mim sua cabeça te falei que não era pra se iludir e muito menos se apegar te avisei que eu era da rua que coração bandido não tem cura não tem cura eu não presto já sou o caso perdido e voc sabia disso voc já sabia disso que eu não presto meu amor não vale o risco mas voc sabia disso se envolveu sabendo disso voc foi surreal marcou demais eu nunca vou esquecer da gente mas eu não vou mudar esquece se depender de mim vou ser assim pra sempre te falei que não era pra se iludir e muito menos se apegar não se apega não te avisei que eu era da rua que coração bandido não tem cura não tem cura eu não presto já sou o caso perdido e voc sabia disso voc já sabia disso que eu não presto meu amor não vale o risco mas voc sabia disso se envolveu sabendo eu não presto já sou o caso perdido e voc sabia disso voc já sabia disso que eu não presto meu amor não vale o risco mas voc sabia disso se envolveu sabendo disso
EU SOU SENTIMENTO (part. Luan Pereira),"Uou, uou, uou Ô, ô, ô Desculpa, eu não ouvi você falar Seu sorriso ativou o meu TDAH A sua boca mexendo Vento batendo no seu cabelo pra lá e pra cá É que eu sou sentimento É que eu sou sentimento Não é que o assunto tá chato É que, na minha cabeça, outro assunto tá falando alto É que eu achei um espaço Pra fazer uma tattoo de um pezinho no braço Eu sou sentimento É que eu sou sentimento Eu esqueço a chave com a chave na mão Eu saio de carro, volto de busão Porque ultimamente Cê é tipo um refrão na minha mente Tirando a atenção Eu esqueço a chave com a chave na mão Eu saio de carro, volto de busão Porque ultimamente Cê é tipo um refrão na minha mente Tirando a atenção Porque eu sou sentimento Porque eu sou sentimento Porque eu sou sentimento Porque eu sou sentimento (porque eu sou sentimento) Desculpe, não ouvi você falar Seu sorriso ativou o meu TDAH A sua boca mexendo O vento batendo no seu cabelo pra lá e pra cá É que eu sou sentimento É que eu sou sentimento Não é que o assunto tá chato É que, na minha cabeça, outro assunto tá falando alto É que eu achei um espaço Pra fazer uma tattoo de um pezinho no braço Eu sou sentimento É que eu sou sentimento Eu esqueço a chave com a chave na mão Eu saio de carro, volto de busão Porque ultimamente Cê é tipo um refrão na minha mente Tirando a atenção Eu esqueço a chave com a chave na mão Eu saio de carro, volto de busão Porque ultimamente Cê é tipo um refrão na minha mente Tirando a atenção Porque eu sou sentimento Porque eu sou sentimento Porque eu sou sentimento Porque eu sou sentimento (porque eu sou sentimento)",uou uou uou desculpa eu não ouvi voc falar seu sorriso ativou o meu tdah a sua boca mexendo vento batendo no seu cabelo pra lá e pra cá é que eu sou sentimento é que eu sou sentimento não é que o assunto tá chato é que na minha cabeça outro assunto tá falando alto é que eu achei um espaço pra fazer uma tattoo de um pezinho no braço eu sou sentimento é que eu sou sentimento eu esqueço a chave com a chave na mão eu saio de carro volto de busão porque ultimamente c é tipo um refrão na minha mente tirando a atenção eu esqueço a chave com a chave na mão eu saio de carro volto de busão porque ultimamente c é tipo um refrão na minha mente tirando a atenção porque eu sou sentimento porque eu sou sentimento porque eu sou sentimento porque eu sou sentimento porque eu sou sentimento desculpe não ouvi voc falar seu sorriso ativou o meu tdah a sua boca mexendo o vento batendo no seu cabelo pra lá e pra cá é que eu sou sentimento é que eu sou sentimento não é que o assunto tá chato é que na minha cabeça outro assunto tá falando alto é que eu achei um espaço pra fazer uma tattoo de um pezinho no braço eu sou sentimento é que eu sou sentimento eu esqueço a chave com a chave na mão eu saio de carro volto de busão porque ultimamente c é tipo um refrão na minha mente tirando a atenção eu esqueço a chave com a chave na mão eu saio de carro volto de busão porque ultimamente c é tipo um refrão na minha mente tirando a atenção porque eu sou sentimento porque eu sou sentimento porque eu sou sentimento porque eu sou sentimento porque eu sou sentimento
Eu Tô Jogando Verde,"Mas que bonito hein? Cê tá pensando o quê? Pode me explicar agora Chega de blá-blá-blá Trate de começar Fala de uma vez E vê se não me enrola Tô esperando Porque tá gaguejando? Pode contar o que fez ontem à noite Quero saber de tudo E não me esconda nada Vamos acabar logo com essa palhaçada Eu tô jogando verde Foi pra testar você Caiu bem direitinho E agora vai me perder Eu tô jogando verde Você acreditou Caiu bem direitinho Você mesmo se entregou Eu tô jogando verde Foi pra testar você Caiu bem direitinho E agora vai me perder Eu tô jogando verde Você acreditou Caiu bem direitinho Você mesmo se entregou Dançou, dançou!",mas que bonito hein c tá pensando o qu pode me explicar agora chega de blábláblá trate de começar fala de uma vez e v se não me enrola t esperando porque tá gaguejando pode contar o que fez ontem noite quero saber de tudo e não me esconda nada vamos acabar logo com essa palhaçada eu t jogando verde foi pra testar voc caiu bem direitinho e agora vai me perder eu t jogando verde voc acreditou caiu bem direitinho voc mesmo se entregou eu t jogando verde foi pra testar voc caiu bem direitinho e agora vai me perder eu t jogando verde voc acreditou caiu bem direitinho voc mesmo se entregou dançou dançou
